Data de envio;Tipo de pessoa;Estado;Município;Local de Armazenamento;Camarão Rosa (Kg);Camarão Sete Barbas (Kg);Camarão Branco (Kg);Camarão Santana ou Vermelho (Kg);Camarão Barba-ruça (Kg);Apresentação do produto;Tipo de embalagem
30/11/2022;Física;Alagoas;São Miguel dos Milagres;R Ana Marinho Braga;50;0;50;0;0;Congelado;Plástica
05/12/2022;Jurídica;Alagoas;Japaratinga;Povoado Bitingui S/N;0;4;25;0;0;Congelado;Embolsado
02/12/2022;Jurídica;Espírito Santo;Vitória;Tv Canindé, 32, Bairro São Pedro;30;950;0;0;0;Congelado;Plástica
02/12/2022;Jurídica;Espírito Santo;Aracruz;Avenida Luiz Cariacica Santos 1690;0;400;0;0;0;Congelado;Plástica
03/12/2022;Jurídica;Espírito Santo;Aracruz;Avenida Luiz Cariacica Santos 1690;0;20;0;0;0;In Natura;Plástica
03/12/2022;Física;Espírito Santo;Piúma;Rua Jair Cadorso Novaes N° 359;200;1000;100;0;0;Congelado;Plástica
03/12/2022;Física;Espírito Santo;Piúma;Rua Jair Cadorso Novaes N° 359;200;1000;100;0;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Itapemirim;Avenida Itapemirim;20;400;0;0;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Marataízes;Rua Das Castanheiras;280;1670;0;100;0;Congelado;Câmara Frigorífica
05/12/2022;Física;Espírito Santo;Piúma;Praça Oenes Taylor 11;100;500;0;100;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Piúma;Rua Jair Cadorso Novaes N° 359;50;500;50;0;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Piúma;Rua Jair Cadorso Novaes N° 351;0;800;0;0;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Piúma;Rua Augusto Costa Oliveira N° 661;0;800;0;0;0;Congelado;Plástica
05/12/2022;Jurídica;Espírito Santo;Piúma;Av Beira Mar N° 642;0;200;0;0;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Piúma;Rua Jair Cadorso Novaes N° 308;50;250;0;0;0;Congelado;Plástica
05/12/2022;Física;Espírito Santo;Itapemirim;Avenida Itapemirim;20;400;0;0;0;Congelado;Plástica
