Data de envio,Tipo de pessoa,Estado,Município,Local de Armazenamento,Camarão Rosa (Kg),Camarão Sete Barbas (Kg),Camarão Branco (Kg),Camarão Santana ou Vermelho (Kg),Camarão Barba-ruça (Kg),Apresentação do produto,Tipo de embalagem
2022-11-30,Física,Alagoas,São Miguel dos Milagres,R Ana Marinho Braga,50.0,0.0,50.0,0.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Alagoas,Japaratinga,Povoado Bitingui S/N,0.0,4.0,25.0,0.0,0.0,Congelado,Embolsado
2022-12-02,Jurídica,Espírito Santo,Vitória,"Tv Canindé, 32, Bairro São Pedro",30.0,950.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-02,Jurídica,Espírito Santo,Aracruz,Avenida Luiz Cariacica Santos 1690,0.0,400.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-03,Jurídica,Espírito Santo,Aracruz,Avenida Luiz Cariacica Santos 1690,0.0,20.0,0.0,0.0,0.0,In Natura,Plástica
2022-12-03,Física,Espírito Santo,Piúma,Rua Jair Cadorso Novaes N° 359,200.0,1000.0,100.0,0.0,0.0,Congelado,Plástica
2022-12-03,Física,Espírito Santo,Piúma,Rua Jair Cadorso Novaes N° 359,200.0,1000.0,100.0,0.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Itapemirim,Avenida Itapemirim,20.0,400.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Marataízes,Rua Das Castanheiras,280.0,1670.0,0.0,100.0,0.0,Congelado,Câmara Frigorífica
2022-12-05,Física,Espírito Santo,Piúma,Praça Oenes Taylor 11,100.0,500.0,0.0,100.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Piúma,Rua Jair Cadorso Novaes N° 359,50.0,500.0,50.0,0.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Piúma,Rua Jair Cadorso Novaes N° 351,0.0,800.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Piúma,Rua Augusto Costa Oliveira N° 661,0.0,800.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Piúma,Av Beira Mar N° 642,0.0,200.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Piúma,Rua Jair Cadorso Novaes N° 308,50.0,250.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Itapemirim,Avenida Itapemirim,20.0,400.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Piúma,Rua Jair Cadorso Novaes N° 366,50.0,400.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Serra,"Rua Jose De Marco, S/N",500.0,2000.0,0.0,400.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Colatina,"Jose Ferdinando Chiste, 93",71.0,80.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Serra,"Rua Lourival Pimentel, S/N",30.0,100.0,0.0,30.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Conceição da Barra,"Av. Linha Verde, 310",0.0,1000.0,0.0,0.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Serra,"Rua Romulo Castelo, 19",70.0,300.0,0.0,70.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Conceição da Barra,"Av. Linha Verde, 310",150.0,1500.0,300.0,0.0,0.0,Congelado,Plástica
2022-12-05,Jurídica,Espírito Santo,Serra,"Rua Wilson Cesar Nascimento, 737",150.0,400.0,0.0,150.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Serra,"Rua Wilson Cesar Nascimento, 737",300.0,800.0,0.0,250.0,0.0,Congelado,Plástica
2022-12-05,Física,Espírito Santo,Serra,"Rua Lourival Pimentel, S/N",500.0,1000.0,0.0,0.0,0.0,Resfriado,Outro
