id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt0035423,Kate & Leopold,Kate & Leopold,2001,118,"Comedy,Fantasy,Romance",6.4,85400,actress,Kate McKay,Meg Ryan,1961,\N,"actress,producer,director","tt0120632,tt0098635,tt0108160,tt0128853"
tt0057461,La rosa de los vientos,La rosa de los vientos,1983,84,"Drama,Fantasy",4.6,22,actor,Coronel Sotomayor,Asdrúbal Meléndez,\N,\N,"actor,art_director,production_designer","tt0112340,tt0181934,tt0350354,tt0089739"
tt0059900,"Wenn du groß bist, lieber Adam","Wenn du groß bist, lieber Adam",1990,78,"Drama,Fantasy",6.6,37,actress,Caroline,Daisy Granados,1942,\N,actress,"tt0096077,tt0076619,tt0082491,tt0237617"
tt0060477,Gregorio and His Angel,Gregorio y su ángel,1970,95,"Drama,Family,Fantasy",7.1,43,actress,\N,Jacqueline Evans,1914,1989,actress,"tt0049121,tt0211009,tt0084335,tt0040075"
tt0062701,Balsamus l'uomo di Satana,Balsamus l'uomo di Satana,1970,99,"Drama,Fantasy,Horror",6.1,76,actor,Alliata,Gianni Cavina,1940,2022,"actor,writer,soundtrack","tt0091837,tt0074287,tt0206393,tt0116297"
tt0064554,King of the Reindeer,Korol-olen,1970,77,"Comedy,Family,Fantasy",6.6,141,actor,Deramo,Yuriy Yakovlev,1928,2013,"actor,miscellaneous","tt0070233,tt0061359,tt0091341,tt0073179"
tt0064843,Case for a Rookie Hangman,Prípad pro zacínajícího kata,1970,107,"Drama,Fantasy,Mystery",7.0,616,actress,Markéta,Klára Jerneková,1945,2003,actress,"tt1235136,tt0313061,tt0183348,tt5204806"
tt0064932,Santo and Blue Demon vs. the Monsters,Santo el enmascarado de plata y Blue Demon contra los monstruos,1970,85,"Action,Adventure,Fantasy",6.0,399,actor,Bruno Halder,Carlos Ancira,1929,1987,"actor,director","tt0061643,tt0459589,tt0229931,tt0214336"
tt0065073,Taste the Blood of Dracula,Taste the Blood of Dracula,1970,91,"Drama,Fantasy,Horror",6.3,6261,actress,Alice Hargood,Linda Hayden,1953,\N,actress,"tt0065073,tt0066849,tt0077269,tt0080273"
tt0065171,The Vengeance of the Vampire Women,La venganza de las mujeres vampiro,1970,85,"Action,Adventure,Fantasy",6.0,94,actress,Paty,Norma Lazareno,1939,\N,actress,"tt0061752,tt0242601,tt0244066,tt1261393"
tt0065390,The Amazing Transplant,The Amazing Transplant,1970,77,"Fantasy,Mystery",4.1,375,actor,Det. Bill Barlen,Larry Hunter,\N,\N,actor,"tt0168158,tt0197403,tt0065390,tt0063118"
tt0065410,Aoom,Aoom,1970,93,Fantasy,5.7,47,actor,Ristol,Lex Barker,1919,1973,actor,"tt0058751,tt0043025,tt0059915,tt0045220"
tt0065489,Brancaleone at the Crusades,Brancaleone alle Crociate,1970,116,"Adventure,Fantasy,History",7.3,1881,actor,Brancaleone da Norcia,Vittorio Gassman,1922,2000,"actor,writer,director","tt0056512,tt0117665,tt0072037,tt0049399"
tt0065492,Brewster McCloud,Brewster McCloud,1970,105,"Comedy,Crime,Fantasy",6.9,5252,actress,Suzanne,Shelley Duvall,1949,\N,"producer,actress,writer","tt0081353,tt0075612,tt0081505,tt0075686"
tt0065633,El diablo Cojuelo,El diablo Cojuelo,1971,104,"Comedy,Fantasy",4.4,13,actor,Don Juan,Máximo Valverde,1944,\N,"actor,writer,producer","tt0077225,tt0450527,tt12336676,tt0064341"
tt0065727,Flesh Feast,Flesh Feast,1970,72,"Fantasy,Horror,Mystery",2.5,726,actor,Dan Carter,Harry Kerwin,1930,1979,"director,actor,producer","tt0077210,tt0063331,tt0235433,tt0075832"
tt0065817,"Hassan, the Bald",Hasan Kachal,1970,106,"Adventure,Fantasy,Musical",7.1,503,actress,Chelgis,Katayun Amir Ebrahimi,\N,\N,actress,"tt0060093,tt0065817,tt0293111,tt0293717"
tt0065832,Hercules in New York,Hercules in New York,1970,92,"Adventure,Comedy,Fantasy",3.3,18558,actor,Professor Camden,James Karen,1923,2018,"actor,miscellaneous","tt0084516,tt0166924,tt0089907,tt0454921"
tt0065834,Heroic Purgatory,Rengoku eroica,1970,118,"Drama,Fantasy",7.1,743,actor,RikiyaNanako's husband,Kaizo Kamoda,\N,\N,actor,tt0065834
tt0065842,Mr. Superinvisible,L'inafferrabile invincibile Mr. Invisibile,1970,95,"Comedy,Fantasy,Romance",4.2,141,actor,Peter Denwell,Dean Jones,1931,2015,"actor,soundtrack,music_department","tt0109444,tt0061135,tt0064603,tt0103786"
tt0065854,The House That Dripped Blood,The House That Dripped Blood,1971,102,"Drama,Fantasy,Horror",6.5,6527,actor,Holloway (segment \Framework Story\),John Bennett,1928,2005,"actor,soundtrack","tt0078480,tt0119116,tt0253474,tt0181689"
tt0065856,House of Dark Shadows,House of Dark Shadows,1970,97,"Drama,Fantasy,Horror",6.3,3147,actor,Jeff Clark,Roger Davis,1939,\N,actor,"tt0055675,tt0066625,tt0065856,tt0059978"
tt0065862,Four Moods,Xi nu ai le,1970,140,"Drama,Fantasy,Romance",7.3,73,actor,\N,Cheng Chang,\N,\N,"actor,music_department","tt1339316,tt0065862"
tt0065915,Libido: The Urge to Love,Je suis une nymphomane,1971,103,"Comedy,Fantasy",4.6,266,actress,Carole,Sandra Julien,1950,\N,actress,"tt0065744,tt0068759,tt0219161,tt0158578"
tt0065917,Jonathan,Jonathan,1970,110,"Drama,Fantasy,Horror",6.0,286,actor,Jonathan,Jürgen Jung,1944,\N,actor,"tt0061839,tt0065917,tt0063848,tt0062771"
tt0065920,The Joys of Jezebel,The Joys of Jezebel,1970,75,"Comedy,Fantasy",4.7,95,actress,Jezebel,Luanne Roberts,\N,\N,actress,"tt0061277,tt0209899,tt0060009,tt0072288"
